Nombre y apellido;Team;Posicion;Value;Points;Average;Matches;Goals;Cards;Rival;¿Casa o Fuera?;Media en Casa;Media fuera;Estado;Nº Jornada;Puntos
Alexander Sørloth;Villarreal;Delantero;8.963.000;79;4,6;17;6;1;Mallorca;0;3,9;5,5;En forma;J20;2
Christian Stuani;Girona;Delantero;5.571.000;89;4,7;19;6;5;Sevilla;0;6,1;3,4;En forma;J20;2
Giuliano Simeone;Alavés;Delantero;678.000;2;2,0;1;0;0;Cádiz;0;0,0;2,0;En forma;J20;0
Borja Iglesias;Betis;Delantero;544.000;22;2,2;10;0;2;Barcelona;0;2,2;2,2;En forma;J20;0
Alberto Dadie;Real Sociedad;Delantero;172.000;1;1,0;1;0;0;Celta;1;0,0;1,0;En forma;J20;1
Marko Milovanovic;Almería;Delantero;160.000;3;1,0;3;0;0;Real Madrid;1;1,0;1,0;En forma;J20;0
Ander Herrera;Athletic Club;Centro;2.405.000;51;3,9;13;0;2;0;4,6;2,8;En forma;J20;2
Óscar Mingueza;Celta;Defensa;10.471.000;92;4,6;20;1;2;Real Sociedad;0;4,2;5,0;En forma;J20;2
Édgar González;Almería;Defensa;2.217.000;45;2,8;16;1;3;Real Madrid;1;3,5;2,1;En forma;J20;5
Omar Alderete;Getafe;Defensa;482.000;37;2,8;13;0;4;Osasuna;1;4,8;1,6;En forma;J19;2
Marc Bartra;Betis;Defensa;176.000;5;1,7;3;0;1;Barcelona;0;2,5;0,0;En forma;J20;0
Ørjan Nyland;Sevilla;Portero;193.000;30;4,3;7;0;0;Girona;1;4,0;4,5;En forma;J20;0
Cristian Rivero;Valencia;Portero;160.000;0;0,0;0;0;0;Athletic;0;0,0;0,0;En forma;J20;0
Marvin Park;Las Palmas;Delantero;979.000;55;3,7;15;0;2;Rayo Vallecano;1;3,9;3,5;En forma;J20;5
Malcom Adu Ares;Athletic Club;Delantero;193.000;8;2,0;4;0;1;0;1,0;2,3;En forma;J20;1
Guido Rodríguez;Betis;Centro;3.359.000;66;4,7;14;1;5;Barcelona;0;5,4;4,0;En forma;J20;0
Lázaro Vinicius;Almería;Centro;174.000;18;1,6;12;0;0;Real Madrid;1;1,5;1,8;En forma;J20;0
Martín Tejón;Valencia;Centro;160.000;0;0,0;0;0;0;Athletic;0;0,0;0,0;En forma;J20;0
Héctor Bellerín;Betis;Defensa;411.000;25;2,1;12;0;1;Barcelona;0;3,6;0,0;En forma;J20;0
